,location,total_cases,total_vaccinations,year,month
0,Afghanistan,55617.0,0.0,2021,2
1,Afghanistan,55714.0,8200.0,2021,2
2,Afghanistan,55995.0,54000.0,2021,3
3,Afghanistan,56873.0,120000.0,2021,4
4,Afghanistan,58312.0,240000.0,2021,4
5,Afghanistan,62403.0,504502.0,2021,5
6,Afghanistan,64575.0,547901.0,2021,5
7,Afghanistan,66275.0,573277.0,2021,5
8,Afghanistan,67743.0,590454.0,2021,5
9,Afghanistan,68366.0,593313.0,2021,5
10,Afghanistan,70761.0,600152.0,2021,5
11,Afghanistan,74026.0,626290.0,2021,6
12,Afghanistan,75119.0,630305.0,2021,6
13,Afghanistan,82326.0,641295.0,2021,6
14,Afghanistan,91458.0,662003.0,2021,6
15,Afghanistan,105749.0,765890.0,2021,6
16,Afghanistan,111592.0,835694.0,2021,6
17,Africa,3024481.0,0.0,2021,1
18,Africa,3144246.0,2000.0,2021,1
19,Africa,3210049.0,4000.0,2021,1
20,Africa,3237617.0,7000.0,2021,1
21,Africa,3310072.0,10976.0,2021,1
22,Africa,3338409.0,13163.0,2021,1
23,Africa,3392453.0,16890.0,2021,1
24,Africa,3419761.0,18353.0,2021,1
25,Africa,3439881.0,18353.0,2021,1
26,Africa,3456576.0,19889.0,2021,1
27,Africa,3475174.0,22712.0,2021,1
28,Africa,3496001.0,25587.0,2021,1
29,Africa,3516781.0,28779.0,2021,1
30,Africa,3536003.0,30861.0,2021,1
31,Africa,3553865.0,122206.0,2021,1
32,Africa,3569617.0,158206.0,2021,1
33,Africa,3582328.0,236712.0,2021,2
34,Africa,3597149.0,295127.0,2021,2
35,Africa,3612611.0,347149.0,2021,2
36,Africa,3629085.0,390474.0,2021,2
37,Africa,3644992.0,446986.0,2021,2
38,Africa,3658537.0,504800.0,2021,2
39,Africa,3681674.0,593502.0,2021,2
40,Africa,3693025.0,661263.0,2021,2
41,Africa,3706143.0,795836.0,2021,2
42,Africa,3718013.0,908796.0,2021,2
43,Africa,3731935.0,1165581.0,2021,2
44,Africa,3742849.0,1446178.0,2021,2
45,Africa,3763067.0,1766999.0,2021,2
46,Africa,3773094.0,1965819.0,2021,2
47,Africa,3785411.0,2147659.0,2021,2
48,Africa,3799304.0,2303964.0,2021,2
49,Africa,3810323.0,2513999.0,2021,2
50,Africa,3819882.0,2616931.0,2021,2
51,Africa,3829402.0,2622421.0,2021,2
52,Africa,3838419.0,2745898.0,2021,2
53,Africa,3846159.0,2854362.0,2021,2
54,Africa,3856688.0,3153546.0,2021,2
55,Africa,3868959.0,3434869.0,2021,2
56,Africa,3880062.0,3677524.0,2021,2
57,Africa,3887893.0,3866267.0,2021,2
58,Africa,3897307.0,3873994.0,2021,2
59,Africa,3906140.0,4091848.0,2021,3
60,Africa,3913848.0,4252773.0,2021,3
61,Africa,3924756.0,4424168.0,2021,3
62,Africa,3937138.0,4570159.0,2021,3
